demand_mw,year,month,day,hour,minute,dow,is_weekend,roll_30min,roll_7d,roll_14d,roll_30d
8038.0,2010,1,1,0,0,4,0,8038.0,8038.0,8038.0,8038.0
7809.31,2010,1,1,0,30,4,0,7809.31,7923.655000000001,7923.655000000001,7923.655000000001
7483.69,2010,1,1,1,0,4,0,7483.69,7777.0,7777.0,7777.0
7117.23,2010,1,1,1,30,4,0,7117.23,7612.0575,7612.0575,7612.0575
6812.03,2010,1,1,2,0,4,0,6812.03,7452.052000000001,7452.052000000001,7452.052000000001
6544.33,2010,1,1,2,30,4,0,6544.33,7300.764999999999,7300.764999999999,7300.764999999999
6377.32,2010,1,1,3,0,4,0,6377.32,7168.844285714285,7168.844285714285,7168.844285714285
6282.85,2010,1,1,3,30,4,0,6282.85,7058.095,7058.095,7058.095
6211.49,2010,1,1,4,0,4,0,6211.49,6964.027777777777,6964.027777777777,6964.027777777777
6248.31,2010,1,1,4,30,4,0,6248.31,6892.456,6892.456,6892.456
6198.61,2010,1,1,5,0,4,0,6198.61,6829.37909090909,6829.37909090909,6829.37909090909
6237.35,2010,1,1,5,30,4,0,6237.35,6780.043333333334,6780.043333333334,6780.043333333334
6370.48,2010,1,1,6,0,4,0,6370.48,6748.538461538462,6748.538461538462,6748.538461538462
6506.42,2010,1,1,6,30,4,0,6506.42,6731.244285714286,6731.244285714286,6731.244285714286
6738.75,2010,1,1,7,0,4,0,6738.75,6731.7446666666665,6731.7446666666665,6731.7446666666665
6980.41,2010,1,1,7,30,4,0,6980.41,6747.28625,6747.28625,6747.28625
7213.33,2010,1,1,8,0,4,0,7213.33,6774.700588235294,6774.700588235294,6774.700588235294
7515.6,2010,1,1,8,30,4,0,7515.6,6815.861666666667,6815.861666666667,6815.861666666667
7761.46,2010,1,1,9,0,4,0,7761.46,6865.63,6865.63,6865.63
7915.54,2010,1,1,9,30,4,0,7915.54,6918.1255,6918.1255,6918.1255
8067.16,2010,1,1,10,0,4,0,8067.16,6972.841428571429,6972.841428571429,6972.841428571429
8123.31,2010,1,1,10,30,4,0,8123.31,7025.135454545455,7025.135454545455,7025.135454545455
8195.51,2010,1,1,11,0,4,0,8195.51,7076.021304347826,7076.021304347826,7076.021304347826
8221.36,2010,1,1,11,30,4,0,8221.36,7123.743750000001,7123.743750000001,7123.743750000001
8278.09,2010,1,1,12,0,4,0,8278.09,7169.9176,7169.9176,7169.9176
8361.58,2010,1,1,12,30,4,0,8361.58,7215.750769230769,7215.750769230769,7215.750769230769
8337.92,2010,1,1,13,0,4,0,8337.92,7257.312592592592,7257.312592592592,7257.312592592592
8421.08,2010,1,1,13,30,4,0,8421.08,7298.875714285714,7298.875714285714,7298.875714285714
8477.34,2010,1,1,14,0,4,0,8477.34,7339.512413793103,7339.512413793103,7339.512413793103
8501.39,2010,1,1,14,30,4,0,8501.39,7378.241666666667,7378.241666666667,7378.241666666667
8557.94,2010,1,1,15,0,4,0,8557.94,7416.296451612903,7416.296451612903,7416.296451612903
8603.11,2010,1,1,15,30,4,0,8603.11,7453.384375,7453.384375,7453.384375
8715.69,2010,1,1,16,0,4,0,8715.69,7491.636060606061,7491.636060606061,7491.636060606061
8791.61,2010,1,1,16,30,4,0,8791.61,7529.870588235294,7529.870588235294,7529.870588235294
8883.98,2010,1,1,17,0,4,0,8883.98,7568.559428571429,7568.559428571429,7568.559428571429
8835.92,2010,1,1,17,30,4,0,8835.92,7603.763888888889,7603.763888888889,7603.763888888889
8765.46,2010,1,1,18,0,4,0,8765.46,7635.161081081082,7635.161081081082,7635.161081081082
8640.56,2010,1,1,18,30,4,0,8640.56,7661.618947368422,7661.618947368422,7661.618947368422
8544.55,2010,1,1,19,0,4,0,8544.55,7684.258205128205,7684.258205128205,7684.258205128205
8562.12,2010,1,1,19,30,4,0,8562.12,7706.20475,7706.20475,7706.20475
8635.78,2010,1,1,20,0,4,0,8635.78,7728.87731707317,7728.87731707317,7728.87731707317
8573.05,2010,1,1,20,30,4,0,8573.05,7748.976666666667,7748.976666666667,7748.976666666667
8333.54,2010,1,1,21,0,4,0,8333.54,7762.571162790698,7762.571162790698,7762.571162790698
8343.8,2010,1,1,21,30,4,0,8343.8,7775.780909090909,7775.780909090909,7775.780909090909
8295.59,2010,1,1,22,0,4,0,8295.59,7787.332222222222,7787.332222222222,7787.332222222222
8210.54,2010,1,1,22,30,4,0,8210.54,7796.532391304348,7796.532391304348,7796.532391304348
8041.77,2010,1,1,23,0,4,0,8041.77,7801.750212765957,7801.750212765957,7801.750212765957
7782.68,2010,1,1,23,30,4,0,7782.68,7801.352916666667,7801.352916666667,7801.352916666667
7574.85,2010,1,2,0,0,5,1,7574.85,7796.730408163265,7796.730408163265,7796.730408163265
7343.3,2010,1,2,0,30,5,1,7343.3,7787.661800000001,7787.661800000001,7787.661800000001
7099.73,2010,1,2,1,0,5,1,7099.73,7774.172941176471,7774.172941176471,7774.172941176471
6779.8,2010,1,2,1,30,5,1,6779.8,7755.050384615384,7755.050384615384,7755.050384615384
6497.47,2010,1,2,2,0,5,1,6497.47,7731.322452830189,7731.322452830189,7731.322452830189
6347.69,2010,1,2,2,30,5,1,6347.69,7705.69962962963,7705.69962962963,7705.69962962963
6223.64,2010,1,2,3,0,5,1,6223.64,7678.753090909091,7678.753090909091,7678.753090909091
6182.07,2010,1,2,3,30,5,1,6182.07,7652.026607142857,7652.026607142857,7652.026607142857
6140.82,2010,1,2,4,0,5,1,6140.82,7625.514210526316,7625.514210526316,7625.514210526316
6224.48,2010,1,2,4,30,5,1,6224.48,7601.3584482758615,7601.3584482758615,7601.3584482758615
6260.0,2010,1,2,5,0,5,1,6260.0,7578.6235593220335,7578.6235593220335,7578.6235593220335
6336.2,2010,1,2,5,30,5,1,6336.2,7557.9165,7557.9165,7557.9165
6470.82,2010,1,2,6,0,5,1,6470.82,7540.095245901639,7540.095245901639,7540.095245901639
6679.67,2010,1,2,6,30,5,1,6679.67,7526.217419354838,7526.217419354838,7526.217419354838
7032.62,2010,1,2,7,0,5,1,7032.62,7518.38253968254,7518.38253968254,7518.38253968254
7394.7,2010,1,2,7,30,5,1,7394.7,7516.45,7516.45,7516.45
7788.18,2010,1,2,8,0,5,1,7788.18,7520.6304615384615,7520.6304615384615,7520.6304615384615
8219.48,2010,1,2,8,30,5,1,8219.48,7531.219090909091,7531.219090909091,7531.219090909091
8344.2,2010,1,2,9,0,5,1,8344.2,7543.353134328358,7543.353134328358,7543.353134328358
8572.63,2010,1,2,9,30,5,1,8572.63,7558.4895588235295,7558.4895588235295,7558.4895588235295
8698.38,2010,1,2,10,0,5,1,8698.38,7575.009710144927,7575.009710144927,7575.009710144927
8924.21,2010,1,2,10,30,5,1,8924.21,7594.284,7594.284,7594.284
