date,dow_is_weekend,precipitation_total,humidity_ave,humidity_day_ave,humidity_night_ave,humidity_peak,cloud_cover_ave,cloud_cover_day_ave,wind_speed_ave,wind_speed_peak,irradiance_total,irradiance_peak,temperature_ave,demand_total
1-Jan-10,0,3.182,0.014,0.162,0.173,0.015,0.659,0.293,1.937,2.455,"6,566",815,23.9,"374,465"
2-Jan-10,1,9.976,0.013,0.151,0.163,0.015,0.309,0.161,2.29,3.333,"7,221",911,24.1,"384,838"
3-Jan-10,1,2.934,0.011,0.13,0.132,0.011,0.415,0.171,2.59,3.273,"6,975",796,20.4,"355,195"
4-Jan-10,0,0.264,0.011,0.133,0.132,0.012,0.128,0.088,2.396,3.05,"8,053",889,21,"395,603"
5-Jan-10,0,3.389,0.013,0.151,0.159,0.014,0.332,0.138,1.9,2.818,"8,012","1,057",23.3,"423,735"
6-Jan-10,0,0.846,0.013,0.151,0.153,0.013,0.379,0.147,2.3,2.737,"7,574",933,23.3,"433,043"
7-Jan-10,0,1.318,0.012,0.14,0.143,0.012,0.291,0.13,1.999,2.744,"7,636",954,22.1,"411,209"
8-Jan-10,0,0.207,0.013,0.148,0.158,0.014,0.202,0.078,1.919,2.708,"8,822","1,043",23.3,"428,487"
9-Jan-10,1,0.005,0.012,0.137,0.156,0.013,0.252,0.217,1.603,2.448,"8,940","1,074",26.6,"443,638"
10-Jan-10,1,0.284,0.012,0.144,0.151,0.013,0.302,0.165,2.275,3.22,"8,232","1,062",26.1,"436,850"
11-Jan-10,0,0.188,0.013,0.154,0.153,0.014,0.06,0.015,2.447,3.109,"8,876","1,065",24.9,"460,043"
12-Jan-10,0,0.143,0.013,0.155,0.167,0.014,0.266,0.082,1.999,2.832,"8,606","1,059",27.8,"515,344"
13-Jan-10,0,8.756,0.012,0.151,0.161,0.013,0.571,0.211,3.096,4.021,"7,318","1,022",25,"469,035"
14-Jan-10,0,1.128,0.012,0.149,0.144,0.013,0.45,0.251,2.165,2.997,"6,469",776,21.8,"422,902"
15-Jan-10,0,0.44,0.013,0.155,0.152,0.013,0.338,0.15,1.891,2.648,"7,527",896,22.8,"431,459"
16-Jan-10,1,3.585,0.013,0.154,0.156,0.014,0.492,0.157,1.949,2.53,"7,433",951,23.7,"401,807"
17-Jan-10,1,1.809,0.01,0.118,0.163,0.012,0.212,0.164,2.707,3.517,"8,012","1,028",23.1,"379,941"
18-Jan-10,0,0.138,0.006,0.071,0.126,0.007,0.121,0.029,2.944,4.251,"8,863","1,062",19,"409,269"
